"variable","run","Ref_d","Ref_e","Ref_g","Ref_K","Ref_N","Ref_P","Ref_s","Ref_U","Ref_y","PS_d","PS_e","PS_g","PS_K","PS_N","PS_P","PS_s","PS_U","PS_y","LBS_d","LBS_e","LBS_g","LBS_K","LBS_N","LBS_P","LBS_s","LBS_U","LBS_y","CBS_d","CBS_e","CBS_g","CBS_K","CBS_N","CBS_P","CBS_s","CBS_U","CBS_y"
"animal_balance",1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-3093992.92981437,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,0,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-726357.148874896,0,NA,NA,NA
"animal_balance",2,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-7594451.81681216,-3.49245965480804e-10,NA,NA,NA,NA,NA,NA,0,0,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-1404979.52251572,1.16415321826935e-10,NA,NA,NA
"animal_balance",3,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-2414789.14833188,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,1.86264514923096e-09,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-170295.100936228,-2.3283064365387e-10,NA,NA,NA
"animal_balance",4,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,767108.924082542,2438673.80923379,50797.5050080756,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,548131.129983282,1604974.79564291,0,NA,NA,NA
"animal_balance",5,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-4006233.62123092,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,9.31322574615479e-10,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA
"animal_balance",6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-3977060.14541056,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-4.65661287307739e-10,0,-3.49245965480804e-10,NA,NA,NA,NA,NA,NA,0,-304805.970060632,0,NA,NA,NA
"animal_balance",7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-2031714.63653703,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA
"animal_balance",8,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2055514.51489817,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",9,NA,NA,NA,0,0,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,-4992742.73690612,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,-2632824.30859187,0,NA,NA,NA
"animal_balance",10,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2692029.00581189,0,NA,NA,NA,NA,NA,NA,0,-9.31322574615479e-10,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA
"animal_balance",11,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-4863131.47058652,0,NA,NA,NA,NA,NA,NA,0,9.31322574615479e-10,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-1668122.94175947,0,NA,NA,NA
"animal_balance",12,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-224713.446710723,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",13,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-3368679.29628042,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",14,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1159229.04975562,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA
"animal_balance",15,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,1812033.34874954,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,1.86264514923096e-09,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,252095.6477926,2.3283064365387e-10,NA,NA,NA
"animal_balance",16,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-2963982.12804564,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA
"animal_balance",17,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-2615497.90365302,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-973.247245525941,-2.3283064365387e-10,NA,NA,NA
"animal_balance",18,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,-6789446.15067092,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,-5021900.67814405,0,NA,NA,NA
"animal_balance",19,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-6422933.19416893,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,9.31322574615479e-10,0,NA,NA,NA,NA,NA,NA,0,-2523413.15099089,0,NA,NA,NA
"animal_balance",20,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-7825932.16946918,0,NA,NA,NA,NA,NA,NA,0,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-4457578.67044379,0,NA,NA,NA
"animal_balance",21,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-4.65661287307739e-10,-9235033.77468837,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,-1.86264514923096e-09,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-3665436.34259126,0,NA,NA,NA
"animal_balance",22,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-2629400.62141976,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA
"animal_balance",23,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-3935588.1890011,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-9.31322574615479e-10,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-639176.783035858,0,NA,NA,NA
"animal_balance",24,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4504903.947131,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-926949.662556084,0,NA,NA,NA
"animal_balance",25,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4216617.85077442,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-2279632.91353234,-2.3283064365387e-10,NA,NA,NA
"animal_balance",26,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1314280.40937353,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA
"animal_balance",27,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-3154543.70358659,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,0,-584589.157121554,-2.3283064365387e-10,NA,NA,NA
"animal_balance",28,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2022301.32630607,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA
"animal_balance",29,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-4809049.48054183,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,-1708909.2584584,0,NA,NA,NA
"animal_balance",30,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-3559391.26158416,0,NA,NA,NA,NA,NA,NA,0,-1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,-2164670.72331898,0,NA,NA,NA
"animal_balance",31,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-3404310.73223869,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-1381384.6814553,0,NA,NA,NA
"animal_balance",32,NA,NA,NA,0,0,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,-4105812.07584417,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",33,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-1.39698386192322e-09,-8480826.44338974,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-4.65661287307739e-10,0,0,NA,NA,NA,NA,NA,NA,0,-3990869.21875279,2.3283064365387e-10,NA,NA,NA
"animal_balance",34,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4951505.20675942,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,4.65661287307739e-10,-9.31322574615479e-10,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-364060.402584432,0,NA,NA,NA
"animal_balance",35,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-4617434.19906115,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1355630.95509277,2.3283064365387e-10,NA,NA,NA
"animal_balance",36,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4657126.29517165,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,9.31322574615479e-10,0,NA,NA,NA,NA,NA,NA,0,-255606.357604088,1.16415321826935e-10,NA,NA,NA
"animal_balance",37,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-5594675.01963239,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-9.31322574615479e-10,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-449028.3147476,0,NA,NA,NA
"animal_balance",38,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1250999.13828488,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",39,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2551933.04716177,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",40,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-7417899.29079703,5.82076609134674e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-1.86264514923096e-09,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-4609539.05140681,0,NA,NA,NA
"animal_balance",41,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-2093641.11309043,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-1.86264514923096e-09,0,NA,NA,NA
"animal_balance",42,NA,NA,NA,0,0,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-948712.055920739,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",43,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-4.65661287307739e-10,-4342991.1189695,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,-4.65661287307739e-10,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-324184.526981182,1.16415321826935e-10,NA,NA,NA
"animal_balance",44,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1305049.45090742,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-9.31322574615479e-10,0,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA
"animal_balance",45,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-6316381.91380804,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,0,-2415913.86073162,0,NA,NA,NA
"animal_balance",46,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-5378297.58046548,-3.49245965480804e-10,NA,NA,NA,NA,NA,NA,4.65661287307739e-10,0,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-2265658.42754732,0,NA,NA,NA
"animal_balance",47,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-2800443.81882761,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,3.72529029846191e-09,0,NA,NA,NA,NA,NA,NA,0,-223260.019502204,0,NA,NA,NA
"animal_balance",48,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-2732256.40735066,4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,4.65661287307739e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-872971.279216394,0,NA,NA,NA
"animal_balance",49,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-4956162.49729188,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-436923.788498722,0,NA,NA,NA
"animal_balance",50,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-2345591.1319735,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA
"animal_balance",51,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-7716737.25989366,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4088236.1642448,0,NA,NA,NA
"animal_balance",52,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1296277.41200041,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA
"animal_balance",53,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-5095516.49872021,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2662601.80448766,-2.3283064365387e-10,NA,NA,NA
"animal_balance",54,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1459225.58319346,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA
"animal_balance",55,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,2489116.89593331,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-1.86264514923096e-09,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,1703899.53810463,-2.3283064365387e-10,NA,NA,NA
"animal_balance",56,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-8583010.7417583,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-9.31322574615479e-10,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-5233013.73642507,0,NA,NA,NA
"animal_balance",57,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.86264514923096e-09,-4027260.37282708,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-1779346.46140782,0,NA,NA,NA
"animal_balance",58,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-4712649.73732007,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1.86264514923096e-09,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-2110561.91135301,0,NA,NA,NA
"animal_balance",59,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-5435931.53126588,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-2964770.89519051,0,NA,NA,NA
"animal_balance",60,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,-4012066.76040541,0,NA,NA,NA,NA,NA,NA,0,9.31322574615479e-10,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-200031.12435206,0,NA,NA,NA
"animal_balance",61,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-3362673.27371904,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-493459.261433573,0,NA,NA,NA
"animal_balance",62,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-898665.158888437,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",63,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,-5335080.43050897,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1222081.52572779,0,NA,NA,NA
"animal_balance",64,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4941071.09533632,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-1879322.98846097,0,NA,NA,NA
"animal_balance",65,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4422807.38469139,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,-2424626.12283272,0,NA,NA,NA
"animal_balance",66,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4562162.92217364,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1.86264514923096e-09,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-1268281.26546045,1.16415321826935e-10,NA,NA,NA
"animal_balance",67,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,101055.839917497,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,101055.839917497,1.16415321826935e-10,NA,NA,NA
"animal_balance",68,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-799901.41093578,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1.86264514923096e-09,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",69,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-1.86264514923096e-09,-4194665.39671097,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,9.31322574615479e-10,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-428261.475745676,0,NA,NA,NA
"animal_balance",70,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-4992274.34238722,0,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-422320.899015008,0,NA,NA,NA
"animal_balance",71,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-5742275.59854564,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2395386.2982811,1.16415321826935e-10,NA,NA,NA
"animal_balance",72,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1395320.10475484,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA
"animal_balance",73,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-3925981.17407929,-3.49245965480804e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-9.31322574615479e-10,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-748594.782824583,0,NA,NA,NA
"animal_balance",74,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-1.39698386192322e-09,-8458258.02455795,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,9.31322574615479e-10,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-4599458.82812142,0,NA,NA,NA
"animal_balance",75,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-495835.031790946,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA
"animal_balance",76,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1258631.13778922,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,1.16415321826935e-10,NA,NA,NA
"animal_balance",77,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-3866338.21531031,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,4.65661287307739e-10,-9.31322574615479e-10,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1.86264514923096e-09,0,NA,NA,NA
"animal_balance",78,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-5367920.41072273,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-9.31322574615479e-10,0,NA,NA,NA,NA,NA,NA,0,-2256666.15238276,0,NA,NA,NA
"animal_balance",79,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-5054098.42897679,-4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA
"animal_balance",80,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-3954584.59916749,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-523046.022599043,2.3283064365387e-10,NA,NA,NA
"animal_balance",81,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-4288441.58632956,6.98491930961609e-10,NA,NA,NA,NA,NA,NA,0,0,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,-2323580.59114341,0,NA,NA,NA
"animal_balance",82,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,2066168.60820678,4.65661287307739e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,0,1363684.4298021,0,NA,NA,NA
"animal_balance",83,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.86264514923096e-09,-7346749.55867621,4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,0,-4910325.05714302,0,NA,NA,NA
"animal_balance",84,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-3293902.93653458,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-389765.150176432,0,NA,NA,NA
"animal_balance",85,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-2796388.25911873,2.3283064365387e-10,NA,NA,NA,NA,NA,NA,0,1.86264514923096e-09,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,2.3283064365387e-10,NA,NA,NA
"animal_balance",86,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-3844527.03285512,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-1120484.79837652,0,NA,NA,NA
"animal_balance",87,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-2327211.92853192,0,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,0,0,NA,NA,NA,NA,NA,NA,0,-174148.949582707,0,NA,NA,NA
"animal_balance",88,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-1388906.72105018,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,1.86264514923096e-09,0,-2.3283064365387e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,-1.86264514923096e-09,0,NA,NA,NA
"animal_balance",89,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-1639161.61126858,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"animal_balance",90,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4894075.67487068,0,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-1690479.1995134,0,NA,NA,NA
"animal_balance",91,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,-4776680.20098189,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,-9.31322574615479e-10,9.31322574615479e-10,-1.16415321826935e-10,NA,NA,NA,NA,NA,NA,0,-878036.922399722,1.16415321826935e-10,NA,NA,NA
"animal_balance",92,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-8043183.35682913,4.65661287307739e-10,NA,NA,NA,NA,NA,NA,0,0,1.16415321826935e-10,NA,NA,NA,NA,NA,NA,9.31322574615479e-10,-4715390.41369792,4.65661287307739e-10,NA,NA,NA
